#(V-I)c    a      b
-0.31     0.90   50.00
-0.08     0.90   26.00
 0.01     1.00    5.50
 0.16     1.15    4.00
 0.38     1.15    1.50
 0.67     1.15    0.70
 0.74     1.15    0.60
 0.87     1.15    0.50
 0.99     1.15    0.39
 1.23     1.15    0.29
 1.04     1.15    0.21
 
